Titles ,Description ,Review ,Price 
Lenovo IdeaTab,"7"" screen, Android",7 reviews,$69.99
IdeaTab A3500L,"Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2",7 reviews,$88.99
Acer Iconia,"7"" screen, Android, 16GB",7 reviews,$96.99
Galaxy Tab 3,"7"", 8GB, Wi-Fi, Android 4.2, White",2 reviews,$97.99
Iconia B1-730H...,"Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4",1 reviews,$99.99
Memo Pad HD 7,"IPS, Dual-Core 1.2GHz, 8GB, Android 4.3",10 reviews,$101.99
Asus MeMO Pad,"7"" screen, Android, 8GB",14 reviews,$102.99
Amazon Kindle,"6"" screen, wifi",3 reviews,$103.99
Galaxy Tab 3,"7"", 8GB, Wi-Fi, Android 4.2, Yellow",14 reviews,$107.99
IdeaTab A8-50,"Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2",13 reviews,$121.99
MeMO Pad 7,"White, 7"", Atom 1.2GHz, 8GB, Android 4.4",11 reviews,$130.99
IdeaTab A3500-...,"Blue, 7"" IPS, Quad-Core 1.3GHz, 8GB, 3G, Android 4.2",9 reviews,$148.99
IdeaTab S5000,"Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2",8 reviews,$172.99
Galaxy Tab 4,"LTE (SM-T235), Quad-Core 1.2GHz, 8GB, Black",1 reviews,$233.99
Galaxy Tab,"16GB, White",14 reviews,$251.99
MeMo PAD FHD 1...,"White, 10.1"" IPS, 1.6GHz, 2GB, 16GB, Android 4.2",7 reviews,$320.99
Galaxy Note,"10.1"", 3G, Android 4.0, Garnet Red",12 reviews,$399.99
Galaxy Note,"12.2"", 32GB, WiFi, Android 4.4, White",9 reviews,$489.99
iPad Mini Reti...,"Wi-Fi + Cellular, 32GB, Silver",8 reviews,$537.99
Galaxy Note 10...,"10.1"", 32GB, Black",6 reviews,$587.99
Apple iPad Air,"Wi-Fi, 64GB, Silver",7 reviews,$603.99
